old_config_path,source_file,source_line,reference_type,historical_reference,updated,new_config_path,remaining_reference_allowed,notes
configs/smoke/original_repro/mmgcn_legacy.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,23,yaml_reference,NO,YES,configs/mmgcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/original_repro/mmgcn_clean.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,24,yaml_reference,NO,YES,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/original_repro/multidag_cl_legacy.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,25,yaml_reference,NO,YES,configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/original_repro/multidag_cl_clean.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,26,yaml_reference,NO,YES,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/original_repro/dialoguegcn_legacy.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,29,yaml_reference,NO,YES,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/original_repro/dialoguegcn_clean.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,30,yaml_reference,NO,YES,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/causal_dialoguegcn_iemocap_synthetic.yaml,docs/baselines/causal_dialoguegcn_port_notes.md,109,historical_doc,YES,NO,configs/dialoguegcn/unified/synthetic/causal_context/synthetic/audit_fixture.yaml,YES,Frozen historical command retained.
configs/smoke/causal_gsmcc_iemocap_synthetic.yaml,docs/baselines/causal_gsmcc_port_notes.md,126,historical_doc,YES,NO,configs/gsmcc/project_variant/synthetic/causal_context/synthetic/audit_fixture.yaml,YES,Frozen historical command retained.
configs/smoke/train_mmgcn_smoke.yaml,docs/baselines/configs_cleanup_audit.md,111,historical_doc,YES,NO,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/configs_cleanup_audit.md,112,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/train_simple_mlp_m3ed.yaml,docs/baselines/configs_cleanup_audit.md,116,historical_doc,YES,NO,configs/simple_mlp/unified/m3ed/full_context/m3ed_features/development.yaml,YES,Frozen historical command retained.
configs/smoke/train_mmgcn_smoke.yaml,docs/baselines/configs_cleanup_audit.md,203,historical_doc,YES,NO,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/configs_cleanup_audit.md,204,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/train_simple_mlp_m3ed.yaml,docs/baselines/configs_cleanup_audit.md,208,historical_doc,YES,NO,configs/simple_mlp/unified/m3ed/full_context/m3ed_features/development.yaml,YES,Frozen historical command retained.
configs/smoke/train_mmgcn_smoke.yaml,docs/baselines/configs_cleanup_audit.md,443,historical_doc,YES,NO,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/train_simple_mlp_m3ed.yaml,docs/baselines/current_merc_model_inventory.md,33,active_doc,NO,YES,configs/simple_mlp/unified/m3ed/full_context/m3ed_features/development.yaml,NO,Active reference updated to the Batch 1 canonical path.
