old_path,new_path,implementation,byte_identical,semantic_identical,changed_keys,change_allowed,status,notes
configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses01.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses02.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses03.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses04.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,unified,NO,NO,source_config,YES,PASS,Only the approved source_config path changed to its exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses02.yaml,unified,NO,NO,source_config,YES,PASS,Only the approved source_config path changed to its exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses03.yaml,unified,NO,NO,source_config,YES,PASS,Only the approved source_config path changed to its exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses04.yaml,unified,NO,NO,source_config,YES,PASS,Only the approved source_config path changed to its exact Batch 3 target.
configs/baselines/multidag_cl/iemocap/debug/context_past_all_causal_tav_smoke.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_past_all_causal_tav_smoke.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/debug/context_w5_tav_quick.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w5_tav_quick.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/baselines/multidag_cl/iemocap/debug/context_w5_tav_smoke.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w5_tav_smoke.yaml,unified,YES,YES,,YES,PASS,No YAML content change.
configs/experiments/original_merc/clean_fold_bases/multidag_cl_clean.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,paper_aligned,YES,YES,,YES,PASS,No YAML content change.
configs/experiments/original_merc/clean_screening/multidag_cl_clean.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/multidag_cl_clean.yaml,paper_aligned,YES,YES,,YES,PASS,No YAML content change.
configs/experiments/original_merc/legacy_fold_bases/multidag_cl_legacy.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,paper_aligned,YES,YES,,YES,PASS,No YAML content change.
configs/experiments/original_merc/screening/multidag_cl_legacy.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,paper_aligned,YES,YES,,YES,PASS,No YAML content change.
