old_path,new_path,implementation,byte_identical,semantic_identical,changed_keys,change_allowed,status,notes
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,unified,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,unified,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,unified,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,unified,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,unified,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/baselines/dialoguegcn/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,unified,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,paper_aligned,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/experiments/original_merc/clean_screening/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,paper_aligned,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/experiments/original_merc/legacy_fold_bases/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,paper_aligned,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
configs/experiments/original_merc/screening/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,paper_aligned,YES,YES,,YES,PASS,Moved with git mv; byte and recursive YAML semantics preserved.
