old_path,new_path,context_mode,byte_identical,semantic_identical,changed_keys,change_allowed,status,notes
configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,causal_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,causal_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,causal_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,causal_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,causal_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/baselines/gsmcc/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,causal_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,full_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,full_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/experiments/original_merc/legacy_fold_bases/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,full_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/experiments/original_merc/screening/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/screening.yaml,full_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/smoke/original_repro/gsmcc_clean.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/smoke.yaml,full_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/smoke/original_repro/gsmcc_legacy.yaml,configs/gsmcc/project_variant/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,full_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
configs/smoke/train_causal_gsmcc_iemocap_real_2epoch.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/smoke_real_2epoch.yaml,causal_context,YES,YES,,YES,PASS,git mv preserved byte content and recursive YAML semantics.
