old_path,new_path,layout_role,benchmark_family,model,implementation,provenance,purpose,ablation_variable,controlled_variables_sha256,byte_identical,semantic_identical,changed_keys,change_allowed,status,notes
configs/baselines/multidag_cl/iemocap/formal/context_past_all_causal_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_past_all_causal_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,context_ablation,"{""graph.context_mode"":""past_all_causal""}",fa2eab9bb00e3e35668e63e11a9aed9d2b1210d2e403cf8c3230455ec5870c13,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/context_w0_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w0_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,context_ablation,"{""graph.context_mode"":""causal"",""graph.window_past"":0}",82fe967f13bc8e9d248a6b496d740c288dfd16a813a1a02f9aebaa0c6f4c56f8,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/context_w1_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w1_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,context_ablation,"{""graph.context_mode"":""causal"",""graph.window_past"":1}",a01995a5ed102f0b4d43136ea6c333dcc24874051685fbed6cdccd46e674610b,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/context_w3_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w3_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,context_ablation,"{""graph.context_mode"":""causal"",""graph.window_past"":3}",e98ae90e00474459dda8e83546f18045fee839122ad0950a256a91d122e8e722,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/context_w5_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/context_w5_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,context_ablation,"{""graph.context_mode"":""causal"",""graph.window_past"":5}",93c53acab4337f594715db563cd2acff227f115eed92b9473e64456190d610e6,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/modality_w5_a.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_a.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,modality_ablation,"{""model.active_modalities"":[""audio""]}",e875e4d7e6d580ec1b3d6c9c5663beac58e95f78df8d054448b7d42f47be5c9c,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/modality_w5_av.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_av.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,modality_ablation,"{""model.active_modalities"":[""audio"",""visual""]}",09e826fffe347e34e58bf0f67dde87532c37c6bcac253f402d359aa210bb88a0,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/modality_w5_t.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_t.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,modality_ablation,"{""model.active_modalities"":[""text""]}",3e554335f8e70e737c78a7b3af37a95b7267a9b57db2ce0c8c3fa6d3fde73e9c,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/modality_w5_ta.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_ta.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,modality_ablation,"{""model.active_modalities"":[""text"",""audio""]}",2bb93e3ef06bf7277362d8541f85cc6641539d07e3debdf9724f89244fcb2fcd,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
configs/baselines/multidag_cl/iemocap/formal/modality_w5_tav.yaml,configs/multidag_cl/unified/iemocap/causal_context/legacy_mmgcn_features/modality_w5_tav.yaml,model_scoped_ablation,NOT_APPLICABLE,multidag_cl,unified,unified,modality_ablation,"{""model.active_modalities"":[""text"",""audio"",""visual""]}",afc488151c4d2fdc45ae75d6699129f30949de00a77e5f9fd03ab23c9212bbe6,YES,YES,,YES,PASS,"git mv preserved byte content, parsed YAML semantics, ablation variables, and controlled variables."
