old_path,new_path,model,implementation,dataset,context_mode,feature_set,purpose,scope,is_smoke,is_formal,is_paper_aligned,is_official,pre_move_sha256,source_config,source_run_semantics,post_move_sha256,yaml_content_changed,approved_changed_keys,active_reference_count,test_reference_count,doc_reference_count,yaml_reference_count,status,notes
configs/analysis/causal_benchmark_8run_review.yaml,configs/benchmarks/causal_unified/analysis/eight_run_review.yaml,,,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,NO,NO,NO,NO,29efc764a286a8a24264999e8d478e80db9acdf91d8db6d2f0989d81c38bba7b,,,29efc764a286a8a24264999e8d478e80db9acdf91d8db6d2f0989d81c38bba7b,NO,,0,0,0,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/four_model_causal_audit.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_formal.yaml,,,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,NO,NO,NO,NO,924ebe6767107e06cb78c46df507655b1cd8a54969f518540e48e4b5c69d5dac,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,declared_source_config,f3945f2821f5597b8a676f682041c51d6534f50293f69df89e53811c61f2a4bb,YES,config,0,0,1,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; the active MMGCN config reference was updated to its existing canonical path.
configs/analysis/multi_run_final_analysis.yaml,configs/benchmarks/paper/analysis/multi_run_metrics.yaml,mmgcn,unified,iemocap,,,analysis,analysis,NO,NO,NO,NO,e534673bdf9cc4b5d61b6bcd24edd63798d8d25d973335a65e6b84da71528447,,,e534673bdf9cc4b5d61b6bcd24edd63798d8d25d973335a65e6b84da71528447,NO,,2,0,0,3,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/multi_run_training_curves.yaml,configs/benchmarks/paper/analysis/multi_run_curves.yaml,mmgcn,unified,iemocap,,,analysis,analysis,NO,NO,NO,NO,594489bd6e28daad7a39b814d81c24fc2de533a81f553b0328cb1e406ebeda37,,,594489bd6e28daad7a39b814d81c24fc2de533a81f553b0328cb1e406ebeda37,NO,,2,0,0,3,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/multidag_cl/iemocap/context_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/context_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,NO,NO,NO,NO,57e4e6c1dcd38b5897902412d4d616c4591089fe0215557c200b4dc24306e892,,,57e4e6c1dcd38b5897902412d4d616c4591089fe0215557c200b4dc24306e892,NO,,0,0,2,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/multidag_cl/iemocap/core_results_compare.yaml,configs/benchmarks/paper/analysis/multidag_cl/core_results_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,NO,NO,NO,NO,b322d221b6ea7c130f35cb6f47631892711d58ac79c83e5203a8a4dc0a78d913,,,b322d221b6ea7c130f35cb6f47631892711d58ac79c83e5203a8a4dc0a78d913,NO,,0,0,1,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/loss_stability_w5_compare.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,NO,NO,NO,NO,899523d11356bcd825fbe4b23fa038b299aaf0a54f6000698756fc6c921c0a1d,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_cosine.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_label_smoothing005.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_plateau_valloss.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr5e4_plateau_valloss.yaml|configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_stable_candidate.yaml,stable_context,ba2785d1b63489cdc29fa8c637090ffc98695752e0a1d0bedc3e6834c4041da4,YES,config_path,0,0,0,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/multidag_cl/iemocap/modality_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/modality_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,NO,NO,NO,NO,ca7c3987a36aeb4a365b23e0418a51af98cbf81f580441250aec9cf91e8f577c,,,ca7c3987a36aeb4a365b23e0418a51af98cbf81f580441250aec9cf91e8f577c,NO,,0,0,1,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/multidag_cl/iemocap/stabilization_20260709_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/stabilization_compare_20260709.yaml,multidag_cl,unified,iemocap,causal_context,,analysis,analysis,NO,NO,NO,NO,0f88ead15c2e869db185b7e2cca03b1c6f1321880d4feadb2fb55afb60a6e51f,,,0f88ead15c2e869db185b7e2cca03b1c6f1321880d4feadb2fb55afb60a6e51f,NO,,0,0,0,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
configs/analysis/multidag_cl/iemocap/stable_context_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/stable_context_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,NO,NO,NO,NO,9c116437b727c9840f4af4b87428aba655c5454dab4296a0cdff99e8b18058b0,,,9c116437b727c9840f4af4b87428aba655c5454dab4296a0cdff99e8b18058b0,NO,,0,0,3,0,MOVED,Moved with git mv to the exact planned Batch 7 canonical path; repository-internal path rewrites are separately declared and audited.
