old_path,new_path,implementation,source_config,source_run_semantics,byte_identical,semantic_identical,changed_keys,change_allowed,status,notes
configs/analysis/causal_benchmark_8run_review.yaml,configs/benchmarks/causal_unified/analysis/eight_run_review.yaml,,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/analysis/four_model_causal_audit.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_formal.yaml,,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,declared_source_config,NO,NO,config,YES,PASS,Only the active MMGCN repository-internal config path changed to the existing canonical target.
configs/analysis/multi_run_final_analysis.yaml,configs/benchmarks/paper/analysis/multi_run_metrics.yaml,unified,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/analysis/multi_run_training_curves.yaml,configs/benchmarks/paper/analysis/multi_run_curves.yaml,unified,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/analysis/multidag_cl/iemocap/context_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/context_compare.yaml,unified,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/analysis/multidag_cl/iemocap/core_results_compare.yaml,configs/benchmarks/paper/analysis/multidag_cl/core_results_compare.yaml,unified,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/loss_stability_w5_compare.yaml,unified,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_cosine.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_label_smoothing005.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_plateau_valloss.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr5e4_plateau_valloss.yaml|configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_stable_candidate.yaml,stable_context,NO,NO,config_path,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/analysis/multidag_cl/iemocap/modality_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/modality_compare.yaml,unified,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/analysis/multidag_cl/iemocap/stabilization_20260709_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/stabilization_compare_20260709.yaml,unified,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/analysis/multidag_cl/iemocap/stable_context_compare.yaml,configs/benchmarks/ablations/analysis/multidag_cl/stable_context_compare.yaml,unified,,,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
