group_id,config_a,config_b,duplicate_type,differing_keys,candidate_collision,recommended_action,risk_level,notes
NEAR-0001,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,validation_session_variant,dataset.val_session_id|dataset.val_split_strategy|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0002,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,validation_session_variant,dataset.val_session_id|dataset.val_split_strategy|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0003,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,validation_session_variant,dataset.val_session_id|dataset.val_split_strategy|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0004,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,validation_session_variant,dataset.val_session_id|dataset.val_split_strategy|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0005,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/smoke/train_causal_dialoguegcn_iemocap_real_2epoch.yaml,smoke_formal_budget_variant,run_name|training.epochs,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0006,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,validation_session_variant,dataset.val_session_id|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0007,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,validation_session_variant,dataset.val_session_id|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0008,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,validation_session_variant,dataset.val_session_id|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0009,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,validation_session_variant,dataset.val_session_id|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0010,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,validation_session_variant,dataset.val_session_id|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0011,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,validation_session_variant,dataset.val_session_id|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0012,configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,validation_session_variant,dataset.val_session_id|dataset.val_split_strategy|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
NEAR-0013,configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,validation_session_variant,dataset.val_session_id|dataset.val_split_strategy|run_name,NO,preserve_distinct_parameter_variant,medium,No deletion or merge in Phase 4A; compare the listed semantic keys before migration.
