config_path,entrypoint,entrypoint_exists,entrypoint_type,canonical_entrypoint,cli_match_status,model_key,registry_status,migration_action,risk_level,notes
configs/analysis/causal_benchmark_8run_review.yaml,scripts/analysis/causal/summarize_causal_benchmark_runs.py,YES,canonical,scripts/analysis/causal/summarize_causal_benchmark_runs.py,PASS_CONFIG,,NOT_APPLICABLE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/four_model_causal_audit.yaml,scripts/analysis/causal/run_four_model_causal_audit.py,YES,canonical,scripts/analysis/causal/run_four_model_causal_audit.py,PASS_CONFIG,,NOT_APPLICABLE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/four_model_causal_audit_synthetic.yaml,scripts/analysis/causal/run_four_model_causal_audit.py,YES,canonical,scripts/analysis/causal/run_four_model_causal_audit.py,PASS_CONFIG,,NOT_APPLICABLE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/multi_run_final_analysis.yaml,scripts/analysis/common/plot_multi_run_final_analysis.py,YES,canonical,scripts/analysis/common/plot_multi_run_final_analysis.py,PASS_CONFIG,,SUPPORTED_DIRECT_OR_PIPELINE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/multi_run_training_curves.yaml,scripts/analysis/common/plot_multi_run_training_curves.py,YES,canonical,scripts/analysis/common/plot_multi_run_training_curves.py,PASS_CONFIG,,SUPPORTED_DIRECT_OR_PIPELINE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/multidag_cl/iemocap/context_compare.yaml,scripts/analysis/common/plot_multi_run_final_analysis.py,YES,canonical,scripts/analysis/common/plot_multi_run_final_analysis.py,PASS_CONFIG,,SUPPORTED_DIRECT_OR_PIPELINE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/multidag_cl/iemocap/core_results_compare.yaml,scripts/analysis/common/plot_multi_run_final_analysis.py,YES,canonical,scripts/analysis/common/plot_multi_run_final_analysis.py,PASS_CONFIG,,SUPPORTED_DIRECT_OR_PIPELINE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,scripts/analysis/models/multidag_cl/plot_stabilization_compare.py,YES,canonical,scripts/analysis/models/multidag_cl/plot_stabilization_compare.py,PASS_CONFIG,,SUPPORTED_DIRECT_OR_PIPELINE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/multidag_cl/iemocap/modality_compare.yaml,scripts/analysis/common/plot_multi_run_final_analysis.py,YES,canonical,scripts/analysis/common/plot_multi_run_final_analysis.py,PASS_CONFIG,,SUPPORTED_DIRECT_OR_PIPELINE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
configs/analysis/multidag_cl/iemocap/stabilization_20260709_compare.yaml,scripts/analysis/models/multidag_cl/plot_stabilization_compare.py,YES,canonical,scripts/analysis/models/multidag_cl/plot_stabilization_compare.py,PASS_CONFIG,,SUPPORTED_DIRECT_OR_PIPELINE,keep_canonical,low,Consumer inferred from YAML schema and verified canonical script; no YAML entrypoint field is rewritten in Phase 4A.
