source_file,source_line,reference_type,referenced_config,reference_exists,is_dynamic,is_historical_doc,requires_update_on_move,notes
configs/analysis/four_model_causal_audit.yaml,3,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/four_model_causal_audit.yaml,5,yaml_reference,configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/four_model_causal_audit.yaml,7,yaml_reference,configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/four_model_causal_audit.yaml,9,yaml_reference,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/four_model_causal_audit_synthetic.yaml,3,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/four_model_causal_audit_synthetic.yaml,5,yaml_reference,configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/four_model_causal_audit_synthetic.yaml,7,yaml_reference,configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/four_model_causal_audit_synthetic.yaml,9,yaml_reference,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,YES,NO,config: configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,9,yaml_reference,configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_stable_candidate.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_stable_candidate.yaml
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,12,yaml_reference,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_plateau_valloss.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_plateau_valloss.yaml
