record_type,category,path,line_or_lines,legacy_target_or_pattern,files,parsed_files,files_with_legacy_imports,legacy_import_edges,text_references,parse_errors,status
summary,canonical_analysis,,,,19,19,0,0,0,0,PASS
summary,compatibility_wrapper,,,,15,15,0,0,7,0,PASS
summary,deferred_script,,,,5,5,0,0,1,0,DEFERRED_TO_PHASE3B2
summary,other_tracked_python,,,,180,180,0,0,0,0,PASS
summary,test,,,,24,24,5,6,15,0,COMPATIBILITY_IMPORTS_RETAINED
summary,documentation_reference,,,,29,0,0,0,116,0,HISTORICAL_AND_COMPATIBILITY_REFERENCES_RETAINED
summary,group_meeting_protected,,,,2,0,0,0,0,0,UNTRACKED_NOT_PARSED
edge,test,tests/original_repro/test_analysis_protocol.py,11,scripts.analyze.analyze_original_merc_results,,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_four_model_causal_audit.py,8,scripts.analyze.run_four_model_causal_audit,,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_iemocap_clean_roberta_v1.py,22,scripts.analyze.audit_iemocap_feature_pkl,,,,,,,DEFERRED_SCRIPT_IMPORT_RETAINED
edge,test,tests/test_iemocap_clean_roberta_v1.py,26,scripts.analyze.probe_iemocap_text_features,,,,,,,DEFERRED_SCRIPT_IMPORT_RETAINED
edge,test,tests/test_new_causal_baseline_checkpoint_reload.py,8,scripts.analyze.audit_model_causality,,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_summarize_causal_benchmark_runs.py,10,scripts.analyze.summarize_causal_benchmark_runs,,,,,,,COMPATIBILITY_IMPORT_RETAINED
text,documentation_reference,AGENTS.md,"51,52",scripts/analyze/,,,,,2,,CONTEXT_REFERENCE
text,documentation_reference,docs/PROJECT_CONTEXT.md,"131,131,184",scripts/analyze/,,,,,3,,CONTEXT_REFERENCE
text,documentation_reference,docs/active_modalities_design.md,"192,622",scripts/analyze/,,,,,2,,HISTORICAL_REFERENCE
text,documentation_reference,docs/baselines/causal_benchmark_review_tool_notes.md,"5,14,21",scripts/analyze/,,,,,3,,COMPATIBILITY_CLI_REFERENCE
text,documentation_reference,docs/baselines/configs_cleanup_audit.md,"376,383",scripts/analyze/,,,,,2,,HISTORICAL_REFERENCE
text,documentation_reference,docs/baselines/iemocap_split_protocol_audit.md,"11,19,128",scripts/analyze/,,,,,3,,DEFERRED_CLI_REFERENCE
text,documentation_reference,docs/baselines/loss_stability_training_audit.md,"10,11",scripts/analyze/,,,,,2,,DEFERRED_CLI_REFERENCE
text,documentation_reference,docs/baselines/mmgcn_causal_audit.md,87,scripts/analyze/,,,,,1,,COMPATIBILITY_CLI_REFERENCE
text,documentation_reference,docs/baselines/multidag_cl_baseline_stabilization_notes.md,45,scripts/analyze/,,,,,1,,DEFERRED_CLI_REFERENCE
text,documentation_reference,docs/baselines/multidag_cl_formal_yaml_standardization_notes.md,"56,333",scripts/analyze/,,,,,2,,HISTORICAL_REFERENCE
text,documentation_reference,docs/baselines/multidag_cl_loss_stability_notes.md,"78,84",scripts/analyze/,,,,,2,,DEFERRED_CLI_REFERENCE
text,documentation_reference,docs/baselines/multidag_cl_multirun_stabilization_analysis_notes.md,"5,10,12,14,17,19,21,48,76",scripts/analyze/,,,,,9,,HISTORICAL_AND_COMPATIBILITY_REFERENCE
text,documentation_reference,docs/baselines/multidag_cl_observability_and_figures_notes.md,"102,106,110,114,242,243,244,246,252",scripts/analyze/,,,,,9,,HISTORICAL_AND_COMPATIBILITY_REFERENCE
text,documentation_reference,docs/baselines/multidag_cl_paper_artifacts_notes.md,"48,81,110",scripts/analyze/,,,,,3,,HISTORICAL_AND_COMPATIBILITY_REFERENCE
text,documentation_reference,docs/baselines/multidag_cl_pipeline_integration_notes.md,"124,125,126,127,128,154,154,154,154,154",scripts/analyze/,,,,,10,,HISTORICAL_REFERENCE
text,documentation_reference,docs/baselines/new_causal_baselines_remote_protocol.md,68,scripts/analyze/,,,,,1,,COMPATIBILITY_CLI_REFERENCE
text,documentation_reference,docs/baselines/original_repro/README.md,67,scripts/analyze/,,,,,1,,COMPATIBILITY_CLI_REFERENCE
text,documentation_reference,docs/baselines/original_repro/original_merc_reproduction_handoff.md,"47,52,67",scripts/analyze/,,,,,3,,HISTORICAL_AND_COMPATIBILITY_REFERENCE
text,documentation_reference,docs/data/iemocap_clean_roberta_v1.md,"45,54",scripts/analyze/,,,,,2,,DEFERRED_CLI_REFERENCE
