record_type,category,path,line,legacy_target,files,parsed_files,files_with_legacy_imports,legacy_import_edges,parse_errors,status
summary,canonical_execution,,,,33,33,0,0,0,PASS
summary,compatibility_wrapper,,,,19,19,0,0,0,PASS
summary,deferred_script,,,,47,47,10,12,0,DEFERRED_TO_PHASE3B
summary,test,,,,23,23,13,27,0,COMPATIBILITY_IMPORTS_RETAINED
summary,group_meeting_protected,,,,2,0,0,0,0,UNTRACKED_NOT_PARSED
edge,deferred_script,scripts/analyze/audit_model_causality.py,76,models.baselines.causal_baseline_registry,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/analyze/audit_model_causality.py,91,models.baselines.causal_baseline_registry,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/baselines/debug_causal_dialoguegcn_forward.py,18,models.baselines.dialoguegcn,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/baselines/debug_causal_gsmcc_forward.py,17,models.baselines.gsmcc,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/baselines/debug_multidag_cl_forward.py,16,models.baselines.multidag_cl,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/baselines/debug_multidag_cl_real_batch.py,27,models.baselines.multidag_cl,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/baselines/debug_new_causal_graph_real_batch.py,18,models.baselines.causal_baseline_registry,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/baselines/debug_sdt_forward.py,16,models.baselines.sdt,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/debug/debug_mmgcn_forward.py,34,models.baselines.mmgcn.mm_gcn,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/debug/debug_simple_mlp_step.py,32,models.baselines.simple_mlp,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/dev/diagnose_gsmcc_numerics.py,24,models.baselines.original_repro,,,,,,DEFERRED_TO_PHASE3B
edge,deferred_script,scripts/dev/diagnose_gsmcc_numerics.py,25,models.baselines.original_repro.gsmcc.model,,,,,,DEFERRED_TO_PHASE3B
edge,test,tests/original_repro/test_model_contracts.py,9,models.baselines.original_repro,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/original_repro/test_numerical_validity.py,12,models.baselines.original_repro,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/original_repro/test_numerical_validity.py,13,models.baselines.original_repro.gsmcc.model,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/original_repro/test_protocol_and_mechanisms.py,14,models.baselines.original_repro.dialoguegcn,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/original_repro/test_protocol_and_mechanisms.py,20,models.baselines.original_repro.gsmcc.model,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/original_repro/test_protocol_and_mechanisms.py,24,models.baselines.original_repro.multidag_cl,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/original_repro/test_runtime_checkpoint.py,10,models.baselines.original_repro,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_causal_dialoguegcn_invariance.py,8,models.baselines.causal_graph_common,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_causal_dialoguegcn_invariance.py,9,models.baselines.dialoguegcn,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_causal_graph_common.py,5,models.baselines.causal_graph_common,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_causal_gsmcc_invariance.py,8,models.baselines.causal_graph_common,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_causal_gsmcc_invariance.py,9,models.baselines.gsmcc,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_iemocap_clean_roberta_v1.py,18,models.baselines.causal_baseline_registry,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_mmgcn_causal_invariance.py,6,models.baselines.mmgcn.mm_gcn,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_model_layout_compatibility.py,7,models.baselines.causal_baseline_registry,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,10,models.baselines.dialoguegcn,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,11,models.baselines.gsmcc,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,12,models.baselines.mmgcn.mm_gcn,,,,,,DEDICATED_COMPATIBILITY_TEST
